odom.stamp,odom.orientation.x,odom.orientation.y,odom.orientation.z,odom.orientation.w,us1.range,us2.range,us3.range,us4.range,us5.range,us6.range,odom.position.x,odom.position.y
2.698,-6.934270208147755e-05,0.002355148392693147,-0.001760543462741453,0.9999956744678219,5.0,5.0,5.0,5.0,5.0,5.0,-0.0012443466443608775,-0.0017539521121125216
2.8,-7.492199322236325e-05,0.002358602934063397,-0.0018464604945510699,0.9999955109711927,5.0,5.0,5.0,5.0,5.0,5.0,-0.0012949000230829122,-0.001841291801035409
2.902,-7.618721283044287e-05,0.0023593694743973457,-0.001935096013918805,0.9999953414764535,5.0,5.0,5.0,5.0,5.0,5.0,-0.0013480507660814933,-0.001930186842080039
2.987,-6.998194595403986e-05,0.0023557361790122223,-0.001972123522227676,0.9999952781580498,5.0,5.0,5.0,5.0,5.0,5.0,-0.001383381340864298,-0.001967101580973848
3.089,-9.552867146514097e-05,0.0023442810558892443,-0.0020502396178483768,0.9999951458572754,5.0,5.0,5.0,5.0,5.0,5.0,-0.0014343010642125509,-0.0020502585612415325
3.191,-7.352720074547297e-05,0.002359236654693435,-0.002113622192102796,0.9999949805860963,5.0,5.0,5.0,5.0,5.0,5.0,-0.0014804030812209379,-0.0021080289548325417
3.293,-9.38517827869428e-05,0.002344953601389563,-0.002175157592423202,0.9999948805238448,5.0,5.0,5.0,5.0,5.0,5.0,-0.0015276287461630234,-0.0021699282664204
3.395,-7.225392199370698e-05,0.0023606657743641085,-0.0022558896422022984,0.9999946664849743,5.0,5.0,5.0,5.0,5.0,5.0,-0.001577226077304622,-0.0022507540879219794
3.497,-7.22219197252885e-05,0.00236297273310702,-0.0023421720012162806,0.9999944626717558,5.0,5.0,5.0,5.0,5.0,5.0,-0.0016340180584525632,-0.0023312828683179606
3.599,-5.469375207982026e-05,0.002337001420953706,-0.002396398856718038,0.9999943963370352,5.0,5.0,5.0,5.0,5.0,5.0,-0.0016766671767899088,-0.002381417838172861
3.701,-6.546369373188274e-05,0.00235166235160608,-0.00246856326233567,0.9999941857801519,5.0,5.0,5.0,5.0,5.0,5.0,-0.0017251030986439875,-0.002455530610127316
3.803,-9.209056847153695e-05,0.002349923445915407,-0.0025217240820854673,0.999994055125719,5.0,5.0,5.0,5.0,5.0,5.0,-0.0017684514382734773,-0.0025095345465217665
3.888,-6.448702407968168e-05,0.0023506770519625617,-0.002594560447269138,0.99999386918866,5.0,5.0,5.0,5.0,5.0,5.0,-0.0018087979106519714,-0.0025814032874145586
3.99,-6.872167614740454e-05,0.002335657501847207,-0.002682443215514238,0.99999367221986,5.0,5.0,5.0,5.0,5.0,5.0,-0.0018603115204394172,-0.002670243664755108
4.092,-6.504400357467015e-05,0.0023596346241427095,-0.0027437884042129956,0.9999934497380026,5.0,5.0,5.0,5.0,5.0,5.0,-0.0019073384772514412,-0.0027281682690059794
4.194,-6.711291358973323e-05,0.0023601262664058446,-0.002803014725033792,0.9999932841816063,5.0,5.0,5.0,5.0,5.0,5.0,-0.0019532958114636956,-0.0027914809669861186
